event_id,date,tournament,opponent,venue,gf,ga,player_id,sofa_player_id,name,pos,started,played,captain,minutes,rating,has_detailed_stats,aerials_lost,aerials_won,assists,clearances,crosses,crosses_accurate,dispossessed,dribbles_attempted,dribbles_won,duels_lost,duels_won,fouled,fouls,goals,high_claims,interceptions,key_passes,long_balls,long_balls_accurate,passes,passes_accurate,pens_conceded,pens_faced,pens_missed,pens_won,punches,recoveries,saves,saves_inside_box,shootout_goals,shootout_misses,shootout_saves,shots,shots_on_target,tackles,tackles_won,touches,entry_min,exit_min,gf_on,ga_on,entry_state
9786529,2022-01-09,"Africa Cup of Nations, Group A",Cameroon,A,1,2,mohamed-konate,850011,Mohamed Konaté,FW,0,1,0,19,6.7,1,1,1,0,0,0,0,1,0,0,3,1,0,1,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,6,74,98,0,0,trailing
9786529,2022-01-09,"Africa Cup of Nations, Group A",Cameroon,A,1,2,patrick-malo,867239,Patrick Malo,DF,1,1,0,90,6.9,1,1,2,0,0,0,0,1,1,1,4,10,3,2,0,0,3,0,5,2,22,15,0,0,0,0,0,3,0,0,0,0,0,0,0,4,3,46,0.0,98,1,2,level
9786529,2022-01-09,"Africa Cup of Nations, Group A",Cameroon,A,1,2,somgogna-hermann-nikiema,895795,Somgogna Hermann Nikiema,DF,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,
9786529,2022-01-09,"Africa Cup of Nations, Group A",Cameroon,A,1,2,steeve-yago,174911,Steeve Yago,DF,1,1,0,90,6.1,1,0,1,0,5,0,0,0,0,0,3,1,0,1,0,0,1,0,4,0,32,25,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,44,0.0,98,1,2,level
9786529,2022-01-09,"Africa Cup of Nations, Group A",Cameroon,A,1,2,zakaria-sanogo,843336,Zakaria Sanogo,FW,0,1,0,19,6.6,1,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,1,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,74,98,0,0,trailing
9737692,2022-01-13,"Africa Cup of Nations, Group A",Cabo Verde,A,1,0,abdoul-tapsoba,1000129,Abdoul Tapsoba,FW,1,1,0,69,6.7,1,0,0,0,0,0,0,0,3,2,3,3,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,13,0.0,70,1,0,level
9737692,2022-01-13,"Africa Cup of Nations, Group A",Cabo Verde,A,1,0,aboubacar-sawadogo,866124,Aboubacar Sawadogo,GK,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,
9737692,2022-01-13,"Africa Cup of Nations, Group A",Cabo Verde,A,1,0,adama-guira,139357,Adama Guira,MF,1,1,0,90,6.6,1,0,0,0,0,0,0,0,2,1,4,2,0,2,0,0,2,0,2,1,36,30,0,0,0,0,0,8,0,0,0,0,0,0,0,1,1,46,0.0,94,1,0,level
9737692,2022-01-13,"Africa Cup of Nations, Group A",Cabo Verde,A,1,0,blati-toure,806244,Blati Touré,MF,1,1,0,90,7.6,1,2,0,0,0,1,1,0,1,1,4,6,4,2,0,0,2,3,5,4,46,42,0,0,0,0,0,9,0,0,0,0,0,1,0,1,0,65,0.0,94,1,0,level
9737692,2022-01-13,"Africa Cup of Nations, Group A",Cabo Verde,A,1,0,cyrille-bayala,785876,Cyrille Bayala,FW,1,1,0,78,7.2,1,1,3,0,1,0,0,0,5,3,5,11,2,4,0,0,2,1,4,2,20,11,0,0,0,0,0,2,0,0,0,0,0,1,0,3,2,51,0.0,79,1,0,level
9737692,2022-01-13,"Africa Cup of Nations, Group A",Cabo Verde,A,1,0,djibril-ouattara,971036,Djibril Ouattara,FW,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,
9737692,2022-01-13,"Africa Cup of Nations, Group A",Cabo Verde,A,1,0,dramane-nikiema,933047,Dramane Nikièma,MF,0,1,0,1,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,92,94,0,0,leading
9737692,2022-01-13,"Africa Cup of Nations, Group A",Cabo Verde,A,1,0,edmond-tapsoba,883262,Edmond Tapsoba,DF,1,1,0,90,7.4,1,0,3,0,3,0,0,0,0,0,0,5,1,0,0,0,0,0,9,5,48,38,0,0,0,0,0,3,0,0,0,0,0,2,1,1,0,55,0.0,94,1,0,level
9737692,2022-01-13,"Africa Cup of Nations, Group A",Cabo Verde,A,1,0,eric-traore,785871,Eric Traoré,FW,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,
9737692,2022-01-13,"Africa Cup of Nations, Group A",Cabo Verde,A,1,0,farid-ouedraogo,1006190,Farid Ouédraogo,GK,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,
9737692,2022-01-13,"Africa Cup of Nations, Group A",Cabo Verde,A,1,0,gustavo-sangare,1019038,Gustavo Sangaré,MF,1,1,0,69,7.2,1,1,0,0,1,5,2,0,0,0,3,3,3,1,0,0,1,2,3,0,25,12,0,0,0,0,0,5,0,0,0,0,0,2,1,0,0,40,0.0,70,1,0,level
9737692,2022-01-13,"Africa Cup of Nations, Group A",Cabo Verde,A,1,0,hassane-bande,886227,Hassane Bandé,FW,1,1,0,89,6.8,1,2,0,0,0,2,1,0,2,1,10,3,2,4,1,0,2,0,1,0,25,16,0,0,0,0,0,3,0,0,0,0,0,2,2,0,0,40,0.0,92,1,0,level
9737692,2022-01-13,"Africa Cup of Nations, Group A",Cabo Verde,A,1,0,herve-koffi,867299,Hervé Koffi,GK,1,1,0,90,7.6,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,11,8,32,29,0,0,0,0,0,11,2,2,0,0,0,0,0,0,0,45,0.0,94,1,0,level
9737692,2022-01-13,"Africa Cup of Nations, Group A",Cabo Verde,A,1,0,ismahila-ouedraogo,1099259,Ismahila Ouédraogo,MF,0,1,0,21,6.4,1,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,3,1,9,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,9,70,94,0,0,leading
9737692,2022-01-13,"Africa Cup of Nations, Group A",Cabo Verde,A,1,0,issa-kabore,1006189,Issa Kaboré,DF,1,1,0,90,7.1,1,2,1,1,0,4,2,0,8,4,9,7,1,2,0,0,0,1,3,1,39,27,0,0,0,0,0,6,0,0,0,0,0,0,0,1,1,74,0.0,94,1,0,level
9737692,2022-01-13,"Africa Cup of Nations, Group A",Cabo Verde,A,1,0,issoufou-dayo,364758,Issoufou Dayo,DF,1,1,1,90,6.8,1,4,2,0,2,0,0,0,0,0,5,3,0,0,0,0,2,0,4,1,35,30,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,43,0.0,94,1,0,level
9737692,2022-01-13,"Africa Cup of Nations, Group A",Cabo Verde,A,1,0,jean-fiacre-kouame-botue,1102863,Jean Fiacre Kouamé Botué,MF,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,
9737692,2022-01-13,"Africa Cup of Nations, Group A",Cabo Verde,A,1,0,mohamed-konate,850011,Mohamed Konaté,FW,0,1,0,12,6.7,1,2,1,0,0,0,0,1,1,1,3,2,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,9,79,94,0,0,leading
9737692,2022-01-13,"Africa Cup of Nations, Group A",Cabo Verde,A,1,0,oula-traore,1064788,Oula Traoré,DF,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,
9737692,2022-01-13,"Africa Cup of Nations, Group A",Cabo Verde,A,1,0,patrick-malo,867239,Patrick Malo,DF,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,
9737692,2022-01-13,"Africa Cup of Nations, Group A",Cabo Verde,A,1,0,somgogna-hermann-nikiema,895795,Somgogna Hermann Nikiema,DF,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,
9737692,2022-01-13,"Africa Cup of Nations, Group A",Cabo Verde,A,1,0,steeve-yago,174911,Steeve Yago,DF,1,1,0,90,7.5,1,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,2,1,4,3,32,28,0,0,0,0,0,12,0,0,0,0,0,0,0,3,1,48,0.0,94,1,0,level
9737692,2022-01-13,"Africa Cup of Nations, Group A",Cabo Verde,A,1,0,zakaria-sanogo,843336,Zakaria Sanogo,FW,0,1,0,21,6.6,1,1,0,0,0,0,0,0,1,1,1,3,2,0,0,0,0,0,0,0,5,3,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,10,70,94,0,0,leading
9737943,2022-01-17,"Africa Cup of Nations, Group A",Ethiopia,H,1,1,abdoul-tapsoba,1000129,Abdoul Tapsoba,FW,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,
9737943,2022-01-17,"Africa Cup of Nations, Group A",Ethiopia,H,1,1,aboubacar-sawadogo,866124,Aboubacar Sawadogo,GK,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,
9737943,2022-01-17,"Africa Cup of Nations, Group A",Ethiopia,H,1,1,adama-guira,139357,Adama Guira,MF,1,1,0,90,7.2,1,0,0,1,0,0,0,0,0,0,6,3,2,4,0,0,0,1,6,3,40,32,0,0,0,0,0,4,0,0,0,0,0,0,0,1,1,48,0.0,94,1,1,level
9737943,2022-01-17,"Africa Cup of Nations, Group A",Ethiopia,H,1,1,bertrand-traore,218160,Bertrand Traoré,FW,1,1,1,90,6.8,1,1,2,0,1,2,0,2,7,3,9,10,2,2,0,0,1,1,0,0,24,18,0,0,0,0,0,3,0,0,0,0,0,1,0,3,1,51,0.0,94,1,1,level
9737943,2022-01-17,"Africa Cup of Nations, Group A",Ethiopia,H,1,1,blati-toure,806244,Blati Touré,MF,1,1,0,90,6.7,1,0,0,0,0,1,0,1,2,2,4,4,1,3,0,0,1,0,8,2,42,33,0,0,0,0,0,8,0,0,0,0,0,1,0,1,0,61,0.0,94,1,1,level
9737943,2022-01-17,"Africa Cup of Nations, Group A",Ethiopia,H,1,1,cyrille-bayala,785876,Cyrille Bayala,FW,1,1,0,63,7,1,0,2,0,0,1,0,0,4,1,3,3,0,0,1,0,0,0,0,0,15,7,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,25,0.0,64,1,1,level
9737943,2022-01-17,"Africa Cup of Nations, Group A",Ethiopia,H,1,1,dango-ouattara,1106451,Dango Ouattara,FW,0,1,0,27,6.7,1,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,2,0,0,0,0,0,1,0,1,0,9,64,94,0,0,level
9737943,2022-01-17,"Africa Cup of Nations, Group A",Ethiopia,H,1,1,djibril-ouattara,971036,Djibril Ouattara,FW,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,
9737943,2022-01-17,"Africa Cup of Nations, Group A",Ethiopia,H,1,1,dramane-nikiema,933047,Dramane Nikièma,MF,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,
9737943,2022-01-17,"Africa Cup of Nations, Group A",Ethiopia,H,1,1,edmond-tapsoba,883262,Edmond Tapsoba,DF,1,1,0,90,6.5,1,0,0,0,2,0,0,0,1,0,2,0,0,1,0,0,1,0,12,7,60,48,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,67,0.0,94,1,1,level
9737943,2022-01-17,"Africa Cup of Nations, Group A",Ethiopia,H,1,1,farid-ouedraogo,1006190,Farid Ouédraogo,GK,1,1,0,90,7.1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,10,2,30,22,0,1,0,0,0,6,5,2,0,0,0,0,0,0,0,39,0.0,94,1,1,level
9737943,2022-01-17,"Africa Cup of Nations, Group A",Ethiopia,H,1,1,gustavo-sangare,1019038,Gustavo Sangaré,MF,1,1,0,63,7,1,0,0,0,0,3,1,0,1,1,0,2,0,1,0,0,1,0,3,1,23,17,0,0,0,0,0,4,0,0,0,0,0,1,0,1,0,33,0.0,64,1,1,level
9737943,2022-01-17,"Africa Cup of Nations, Group A",Ethiopia,H,1,1,hassane-bande,886227,Hassane Bandé,FW,1,1,0,76,6.8,1,1,0,0,0,2,0,2,5,4,4,7,1,0,0,0,2,1,1,1,21,17,0,0,0,0,0,4,0,0,0,0,0,1,1,2,1,41,0.0,77,1,1,level
