year,pld,w,d,l,gf,ga,win_pct
1978,3,0,0,3,2,9,0.0
1996,3,0,0,3,3,9,0.0
1998,6,2,2,2,8,9,33.3
2000,3,0,1,2,4,8,0.0
2002,3,0,1,2,2,4,0.0
2004,3,0,1,2,1,6,0.0
2010,2,0,1,1,0,1,0.0
2012,3,0,0,3,2,6,0.0
2013,6,2,3,1,7,3,33.3
2015,3,0,1,2,1,4,0.0
2017,6,3,3,0,8,3,50.0
2021,7,2,3,2,9,10,28.6
2023,4,1,1,2,4,6,25.0
2025,4,2,0,2,4,5,50.0
