player_id,name,pos,tier,window_start,window_matches,team_min_window,squad_matches,starts,start_share,on_min,minutes_share,off_min,on_gd90,off_gd90,onoff_diff,gate_onoff,starts_ppg,nonstart_ppg,ppg_diff,gate_ppg,goals,assists,pens,ga90,gate_ga90,rating_avg,rated_apps,rated_min,gate_rating,pct_minutes_share,pct_onoff,pct_ppg,pct_ga90,pct_rating
abdoulaye-toure,Abdoulaye Toure,FW,marge,2025-01-09,23,2226,4,2,0.5,143,0.064,259,,,,0,,,,0,0,0,0,,0,,2,131,0,55,,,,
patrick-malo,Patrick Malo,DF,marge,2022-01-09,58,5656,12,3,0.25,356,0.063,881,,,,0,,,,0,1,0,1,,0,,4,315,0,54,,,,
romain-lougoutiogue,Romain Lougoutiogue,FW,marge,2025-01-09,23,2226,4,2,0.5,140,0.063,257,,,,0,,,,0,0,0,0,,0,,2,131,0,54,,,,
soumaila-ouattara,Soumaïla Ouattara,DF,marge,2022-01-09,58,5656,8,3,0.38,350,0.062,475,,,,0,,,,0,0,0,0,,0,,3,302,0,52,,,,
abdoul-kader-ouattara,Abdoul Kader Ouattara,FW,marge,2024-09-06,29,2808,3,2,0.67,160,0.057,135,,,,0,,,,0,0,0,0,,0,,3,149,0,50,,,,
christophe-ouattara,Christophe Ouattara,DF,marge,2025-08-02,18,1752,4,1,0.25,100,0.057,307,,,,0,,,,0,0,0,0,,0,,1,90,0,50,,,,
moussa-traore,Moussa Traoré,GK,marge,2025-08-02,18,1752,4,1,0.25,100,0.057,307,,,,0,,,,0,0,0,0,,0,,1,90,0,50,,,,
djibril-ouattara,Djibril Ouattara,FW,marge,2022-01-09,58,5656,19,2,0.11,248,0.044,1656,,,,0,,,,0,1,0,0,,0,,5,230,0,48,,,,
cedric-barro,Cédric Barro,MF,marge,2025-08-02,18,1752,4,1,0.25,77,0.044,330,,,,0,,,,0,0,0,0,,0,,1,74,0,48,,,,
raouf-memel-dao,Raouf Memel Dao,MF,marge,2025-01-09,23,2226,4,1,0.25,94,0.042,285,,,,0,,,,0,0,0,0,,0,,0,0,0,47,,,,
abdoul-bandaogo,Abdoul Bandaogo,MF,marge,2022-06-03,49,4734,3,2,0.67,188,0.04,94,,,,0,,,,0,0,0,0,,0,,2,180,0,46,,,,
mamady-bangre,Mamady Bangré,FW,marge,2022-03-24,51,4921,12,2,0.17,180,0.037,995,,,,0,,,,0,0,0,0,,0,,4,163,0,45,,,,
dramane-salou,Dramane Salou,MF,marge,2023-06-18,43,4165,16,1,0.06,148,0.036,1413,,,,0,,,,0,0,0,0,,0,,4,129,0,44,,,,
damassi-konate,Damassi Konaté,FW,marge,2025-08-02,18,1752,4,0,0.0,57,0.033,350,,,,0,,,,0,0,0,0,,0,,1,47,0,43,,,,
trova-boni,Trova Boni,DF,marge,2022-03-24,51,4921,12,2,0.17,147,0.03,1002,,,,0,,,,0,0,0,0,,0,,3,127,0,42,,,,
zakaria-sanogo,Zakaria Sanogo,FW,marge,2022-01-09,58,5656,7,0,0.0,148,0.026,587,,,,0,,,,0,0,0,0,,0,,5,131,0,42,,,,
aboubacar-bassinga,Aboubacar Bassinga,MF,,2026-06-05,2,191,2,0,0.0,5,0.026,186,,,,0,,,,0,0,0,0,,0,,0,0,0,,,,,
valentin-nouma,Valentin Nouma,DF,marge,2022-11-19,46,4453,14,1,0.07,107,0.024,1234,,,,0,,,,0,0,0,0,,0,,2,85,0,41,,,,
abdoul-yoda,Abdoul Yoda,MF,marge,2022-06-07,48,4640,8,0,0.0,47,0.01,707,,,,0,,,,0,0,0,0,,0,,0,0,0,40,,,,
clement-pitroipa,Clement Pitroipa,MF,marge,2024-11-14,25,2417,3,0,0.0,19,0.008,267,,,,0,,,,0,0,0,0,,0,,1,15,0,39,,,,
eric-traore,Eric Traoré,FW,marge,2022-01-09,58,5656,4,0,0.0,38,0.007,381,,,,0,,,,0,0,0,0,,0,,1,23,0,38,,,,
clovis-bazemo,Clovis Bazemo,GK,marge,2025-09-05,14,1345,2,0,0.0,9,0.007,181,,,,0,,,,0,0,0,0,,0,,0,0,0,38,,,,
