player_a,name_a,pos_a,player_b,name_b,pos_b,pair_type,matches,minutes,gf,ga,gd,gd90,gated
dango-ouattara,Dango Ouattara,FW,josue-tiendrebeogo,Josué Tiendrébéogo,MF,MF-FW,5,291,12,1,11,3.4,1
cedric-badolo,Cedric Badolo,MF,nasser-djiga,Nasser Djiga,DF,DF-MF,6,289,4,4,0,0.0,1
adamo-nagalo,Adamo Nagalo,DF,lassina-traore,Lassina Traoré,FW,DF-FW,5,289,8,4,4,1.25,1
mohamed-ouedraogo,Mohamed Ouédraogo,DF,steeve-yago,Steeve Yago,DF,DF-DF,4,284,6,5,1,0.32,1
cyriaque-irie,Cyriaque Irié,FW,issoufou-dayo,Issoufou Dayo,DF,DF-FW,6,284,7,2,5,1.58,1
cyrille-bayala,Cyrille Bayala,FW,dango-ouattara,Dango Ouattara,FW,FW-FW,4,280,2,2,0,0.0,1
nasser-djiga,Nasser Djiga,DF,saidou-simpore,Saïdou Simporé,DF,DF-DF,5,280,7,3,4,1.29,1
kilian-nikiema,Kilian Nikiema,GK,steeve-yago,Steeve Yago,DF,GK-DF,4,279,5,6,-1,-0.32,1
abdoul-guiebre,Abdoul Guiebre,DF,bertrand-traore,Bertrand Traoré,FW,DF-FW,4,272,2,2,0,0.0,1
dango-ouattara,Dango Ouattara,FW,georgi-minoungou,Georgi Minoungou,FW,FW-FW,7,268,5,4,1,,0
josue-tiendrebeogo,Josué Tiendrébéogo,MF,lassina-traore,Lassina Traoré,FW,MF-FW,4,267,6,5,1,,0
abdoul-guiebre,Abdoul Guiebre,DF,ismahila-ouedraogo,Ismahila Ouédraogo,MF,DF-MF,4,265,3,2,1,,0
arsene-kouassi,Arsène Kouassi,DF,georgi-minoungou,Georgi Minoungou,FW,DF-FW,5,263,4,4,0,,0
farid-ouedraogo,Farid Ouédraogo,GK,sacha-banse,Sacha Bansé,MF,GK-MF,3,262,4,5,-1,,0
adamo-nagalo,Adamo Nagalo,DF,arsene-kouassi,Arsène Kouassi,DF,DF-DF,4,262,1,7,-6,,0
cedric-badolo,Cedric Badolo,MF,mohamed-ouedraogo,Mohamed Ouédraogo,DF,DF-MF,5,261,6,2,4,,0
georgi-minoungou,Georgi Minoungou,FW,saidou-simpore,Saïdou Simporé,DF,DF-FW,7,261,6,2,4,,0
georgi-minoungou,Georgi Minoungou,FW,herve-koffi,Hervé Koffi,GK,GK-FW,7,260,7,3,4,,0
bertrand-traore,Bertrand Traoré,FW,hassane-bande,Hassane Bandé,FW,FW-FW,5,258,3,3,0,,0
arsene-kouassi,Arsène Kouassi,DF,blati-toure,Blati Touré,MF,DF-MF,3,255,4,2,2,,0
edmond-tapsoba,Edmond Tapsoba,DF,josue-tiendrebeogo,Josué Tiendrébéogo,MF,DF-MF,6,254,8,3,5,,0
arsene-kouassi,Arsène Kouassi,DF,ismahila-ouedraogo,Ismahila Ouédraogo,MF,DF-MF,3,254,0,3,-3,,0
hassane-bande,Hassane Bandé,FW,mohamed-ouedraogo,Mohamed Ouédraogo,DF,DF-FW,5,252,6,1,5,,0
ismahila-ouedraogo,Ismahila Ouédraogo,MF,stephane-aziz-ki,Stephane Aziz Ki,MF,MF-MF,5,251,1,1,0,,0
adamo-nagalo,Adamo Nagalo,DF,josue-tiendrebeogo,Josué Tiendrébéogo,MF,DF-MF,4,251,7,2,5,,0
lassina-traore,Lassina Traoré,FW,stephane-aziz-ki,Stephane Aziz Ki,MF,MF-FW,4,249,9,3,6,,0
arsene-kouassi,Arsène Kouassi,DF,steeve-yago,Steeve Yago,DF,DF-DF,3,249,0,4,-4,,0
djibril-ouattara,Djibril Ouattara,FW,edmond-tapsoba,Edmond Tapsoba,DF,DF-FW,5,248,6,5,1,,0
djibril-ouattara,Djibril Ouattara,FW,issa-kabore,Issa Kaboré,DF,DF-FW,5,248,6,5,1,,0
sacha-banse,Sacha Bansé,MF,saidou-simpore,Saïdou Simporé,DF,DF-MF,5,248,4,2,2,,0
dango-ouattara,Dango Ouattara,FW,nasser-djiga,Nasser Djiga,DF,DF-FW,4,247,3,5,-2,,0
arsene-kouassi,Arsène Kouassi,DF,cyriaque-irie,Cyriaque Irié,FW,DF-FW,5,247,3,3,0,,0
kilian-nikiema,Kilian Nikiema,GK,mohamed-ouedraogo,Mohamed Ouédraogo,DF,GK-DF,4,246,3,6,-3,,0
mohamed-zougrana,Mohamed Zougrana,MF,saidou-simpore,Saïdou Simporé,DF,DF-MF,4,244,6,2,4,,0
edmond-tapsoba,Edmond Tapsoba,DF,pierre-landry-kabore,Pierre Landry Kaboré,FW,DF-FW,7,241,4,4,0,,0
hassane-bande,Hassane Bandé,FW,josue-tiendrebeogo,Josué Tiendrébéogo,MF,MF-FW,4,238,1,6,-5,,0
djibril-ouattara,Djibril Ouattara,FW,gustavo-sangare,Gustavo Sangaré,MF,MF-FW,4,237,5,5,0,,0
edmond-tapsoba,Edmond Tapsoba,DF,ousseni-bouda,Ousseni Bouda,FW,DF-FW,8,236,4,6,-2,,0
adamo-nagalo,Adamo Nagalo,DF,hassane-bande,Hassane Bandé,FW,DF-FW,5,236,3,4,-1,,0
adama-guira,Adama Guira,MF,adamo-nagalo,Adamo Nagalo,DF,DF-MF,3,233,1,1,0,,0
issoufou-dayo,Issoufou Dayo,DF,mohamed-ouedraogo,Mohamed Ouédraogo,DF,DF-DF,4,230,7,2,5,,0
arsene-kouassi,Arsène Kouassi,DF,bertrand-traore,Bertrand Traoré,FW,DF-FW,4,228,0,3,-3,,0
abdoul-guiebre,Abdoul Guiebre,DF,cedric-badolo,Cedric Badolo,MF,DF-MF,5,226,5,2,3,,0
blati-toure,Blati Touré,MF,cyriaque-irie,Cyriaque Irié,FW,MF-FW,5,226,7,0,7,,0
farid-ouedraogo,Farid Ouédraogo,GK,gustavo-sangare,Gustavo Sangaré,MF,GK-MF,3,225,5,7,-2,,0
adamo-nagalo,Adamo Nagalo,DF,ismahila-ouedraogo,Ismahila Ouédraogo,MF,DF-MF,5,225,6,5,1,,0
cedric-badolo,Cedric Badolo,MF,farid-ouedraogo,Farid Ouédraogo,GK,GK-MF,4,225,1,2,-1,,0
adamo-nagalo,Adamo Nagalo,DF,kilian-nikiema,Kilian Nikiema,GK,GK-DF,3,223,3,5,-2,,0
adama-guira,Adama Guira,MF,soumaila-ouattara,Soumaïla Ouattara,DF,DF-MF,2,222,2,1,1,,0
herve-koffi,Hervé Koffi,GK,soumaila-ouattara,Soumaïla Ouattara,DF,GK-DF,2,222,2,1,1,,0
bertrand-traore,Bertrand Traoré,FW,cyrille-bayala,Cyrille Bayala,FW,FW-FW,4,220,2,3,-1,,0
cyriaque-irie,Cyriaque Irié,FW,dango-ouattara,Dango Ouattara,FW,FW-FW,5,220,6,2,4,,0
farid-ouedraogo,Farid Ouédraogo,GK,saidou-simpore,Saïdou Simporé,DF,GK-DF,3,219,2,1,1,,0
djibril-ouattara,Djibril Ouattara,FW,steeve-yago,Steeve Yago,DF,DF-FW,5,218,6,5,1,,0
issa-kabore,Issa Kaboré,DF,mohamed-ouedraogo,Mohamed Ouédraogo,DF,DF-DF,3,213,7,2,5,,0
abdoul-guiebre,Abdoul Guiebre,DF,stephane-aziz-ki,Stephane Aziz Ki,MF,DF-MF,6,210,2,1,1,,0
mohamed-ouedraogo,Mohamed Ouédraogo,DF,nasser-djiga,Nasser Djiga,DF,DF-DF,3,209,4,3,1,,0
abdoul-tapsoba,Abdoul Tapsoba,FW,ismahila-ouedraogo,Ismahila Ouédraogo,MF,MF-FW,5,208,5,4,1,,0
issoufou-dayo,Issoufou Dayo,DF,pierre-landry-kabore,Pierre Landry Kaboré,FW,DF-FW,5,208,4,2,2,,0
blati-toure,Blati Touré,MF,georgi-minoungou,Georgi Minoungou,FW,MF-FW,6,208,5,3,2,,0
ismahila-ouedraogo,Ismahila Ouédraogo,MF,mohamed-zougrana,Mohamed Zougrana,MF,MF-MF,3,207,3,1,2,,0
mohamed-ouedraogo,Mohamed Ouédraogo,DF,stephane-aziz-ki,Stephane Aziz Ki,MF,DF-MF,3,205,6,2,4,,0
cyriaque-irie,Cyriaque Irié,FW,issa-kabore,Issa Kaboré,DF,DF-FW,3,205,4,1,3,,0
arsene-kouassi,Arsène Kouassi,DF,gustavo-sangare,Gustavo Sangaré,MF,DF-MF,3,205,0,3,-3,,0
mohamed-konate,Mohamed Konaté,FW,stephane-aziz-ki,Stephane Aziz Ki,MF,MF-FW,5,201,0,0,0,,0
mohamed-ouedraogo,Mohamed Ouédraogo,DF,saidou-simpore,Saïdou Simporé,DF,DF-DF,5,200,4,2,2,,0
gustavo-sangare,Gustavo Sangaré,MF,kilian-nikiema,Kilian Nikiema,GK,GK-MF,4,199,2,6,-4,,0
herve-koffi,Hervé Koffi,GK,pierre-landry-kabore,Pierre Landry Kaboré,FW,GK-FW,5,199,3,3,0,,0
herve-koffi,Hervé Koffi,GK,sacha-banse,Sacha Bansé,MF,GK-MF,4,197,3,2,1,,0
blati-toure,Blati Touré,MF,djibril-ouattara,Djibril Ouattara,FW,MF-FW,4,196,6,4,2,,0
kilian-nikiema,Kilian Nikiema,GK,mohamed-konate,Mohamed Konaté,FW,GK-FW,4,194,1,3,-2,,0
herve-koffi,Hervé Koffi,GK,mohamed-ouedraogo,Mohamed Ouédraogo,DF,GK-DF,2,194,6,2,4,,0
cedric-badolo,Cedric Badolo,MF,ismahila-ouedraogo,Ismahila Ouédraogo,MF,MF-MF,5,192,5,3,2,,0
hassane-bande,Hassane Bandé,FW,kilian-nikiema,Kilian Nikiema,GK,GK-FW,3,192,3,1,2,,0
abdoul-guiebre,Abdoul Guiebre,DF,adama-guira,Adama Guira,MF,DF-MF,2,192,1,0,1,,0
abdoul-guiebre,Abdoul Guiebre,DF,adamo-nagalo,Adamo Nagalo,DF,DF-DF,2,192,1,1,0,,0
abdoul-guiebre,Abdoul Guiebre,DF,mohamed-konate,Mohamed Konaté,FW,DF-FW,2,192,1,1,0,,0
arsene-kouassi,Arsène Kouassi,DF,pierre-landry-kabore,Pierre Landry Kaboré,FW,DF-FW,5,192,1,3,-2,,0
abdoul-tapsoba,Abdoul Tapsoba,FW,mohamed-konate,Mohamed Konaté,FW,FW-FW,4,191,1,3,-2,,0
lassina-traore,Lassina Traoré,FW,ousseni-bouda,Ousseni Bouda,FW,FW-FW,5,191,1,5,-4,,0
dango-ouattara,Dango Ouattara,FW,pierre-landry-kabore,Pierre Landry Kaboré,FW,FW-FW,5,191,2,2,0,,0
adama-guira,Adama Guira,MF,stephane-aziz-ki,Stephane Aziz Ki,MF,MF-MF,3,189,1,2,-1,,0
abdoul-bandaogo,Abdoul Bandaogo,MF,abdoul-guiebre,Abdoul Guiebre,DF,DF-MF,2,188,5,1,4,,0
abdoul-bandaogo,Abdoul Bandaogo,MF,dango-ouattara,Dango Ouattara,FW,MF-FW,2,188,5,1,4,,0
abdoul-bandaogo,Abdoul Bandaogo,MF,edmond-tapsoba,Edmond Tapsoba,DF,DF-MF,2,188,5,1,4,,0
abdoul-bandaogo,Abdoul Bandaogo,MF,issoufou-dayo,Issoufou Dayo,DF,DF-MF,2,188,5,1,4,,0
bertrand-traore,Bertrand Traoré,FW,pierre-landry-kabore,Pierre Landry Kaboré,FW,FW-FW,4,188,3,3,0,,0
kilian-nikiema,Kilian Nikiema,GK,stephane-aziz-ki,Stephane Aziz Ki,MF,GK-MF,4,187,4,3,1,,0
abdoul-guiebre,Abdoul Guiebre,DF,cyrille-bayala,Cyrille Bayala,FW,DF-FW,3,185,1,0,1,,0
bertrand-traore,Bertrand Traoré,FW,mohamed-ouedraogo,Mohamed Ouédraogo,DF,DF-FW,3,185,7,2,5,,0
kilian-nikiema,Kilian Nikiema,GK,sacha-banse,Sacha Bansé,MF,GK-MF,2,184,3,4,-1,,0
arsene-kouassi,Arsène Kouassi,DF,lassina-traore,Lassina Traoré,FW,DF-FW,4,184,3,3,0,,0
abdoul-bandaogo,Abdoul Bandaogo,MF,blati-toure,Blati Touré,MF,MF-MF,2,183,5,1,4,,0
kilian-nikiema,Kilian Nikiema,GK,lassina-traore,Lassina Traoré,FW,GK-FW,3,183,3,3,0,,0
issoufou-dayo,Issoufou Dayo,DF,ousseni-bouda,Ousseni Bouda,FW,DF-FW,5,182,3,4,-1,,0
abdoul-guiebre,Abdoul Guiebre,DF,hassane-bande,Hassane Bandé,FW,DF-FW,4,181,2,0,2,,0
adama-guira,Adama Guira,MF,mamady-bangre,Mamady Bangré,FW,MF-FW,4,180,1,2,-1,,0
issoufou-dayo,Issoufou Dayo,DF,mamady-bangre,Mamady Bangré,FW,DF-FW,4,180,1,2,-1,,0
mohamed-konate,Mohamed Konaté,FW,mohamed-ouedraogo,Mohamed Ouédraogo,DF,DF-FW,7,178,0,4,-4,,0
ismahila-ouedraogo,Ismahila Ouédraogo,MF,pierre-landry-kabore,Pierre Landry Kaboré,FW,MF-FW,3,178,3,2,1,,0
pierre-landry-kabore,Pierre Landry Kaboré,FW,steeve-yago,Steeve Yago,DF,DF-FW,3,178,3,2,1,,0
adamo-nagalo,Adamo Nagalo,DF,mohamed-zougrana,Mohamed Zougrana,MF,DF-MF,3,177,6,2,4,,0
dango-ouattara,Dango Ouattara,FW,soumaila-ouattara,Soumaïla Ouattara,DF,DF-FW,2,176,2,0,2,,0
abdoul-bandaogo,Abdoul Bandaogo,MF,issa-kabore,Issa Kaboré,DF,DF-MF,2,176,4,1,3,,0
blati-toure,Blati Touré,MF,mohamed-ouedraogo,Mohamed Ouédraogo,DF,DF-MF,5,175,5,4,1,,0
abdoul-tapsoba,Abdoul Tapsoba,FW,cyrille-bayala,Cyrille Bayala,FW,FW-FW,3,174,2,2,0,,0
bertrand-traore,Bertrand Traoré,FW,soumaila-ouattara,Soumaïla Ouattara,DF,DF-FW,2,174,4,3,1,,0
issa-kabore,Issa Kaboré,DF,kilian-nikiema,Kilian Nikiema,GK,GK-DF,2,174,3,1,2,,0
ousseni-bouda,Ousseni Bouda,FW,sacha-banse,Sacha Bansé,MF,MF-FW,5,174,1,4,-3,,0
djibril-ouattara,Djibril Ouattara,FW,soumaila-ouattara,Soumaïla Ouattara,DF,DF-FW,2,173,4,3,1,,0
ousseni-bouda,Ousseni Bouda,FW,steeve-yago,Steeve Yago,DF,DF-FW,6,171,2,4,-2,,0
abdoul-ayinde,Abdoul Ayinde,DF,dango-ouattara,Dango Ouattara,FW,DF-FW,2,169,7,0,7,,0
abdoul-ayinde,Abdoul Ayinde,DF,issa-kabore,Issa Kaboré,DF,DF-DF,2,169,7,0,7,,0
abdoul-ayinde,Abdoul Ayinde,DF,issoufou-dayo,Issoufou Dayo,DF,DF-DF,2,169,7,0,7,,0
bertrand-traore,Bertrand Traoré,FW,josue-tiendrebeogo,Josué Tiendrébéogo,MF,MF-FW,5,168,8,1,7,,0
josue-tiendrebeogo,Josué Tiendrébéogo,MF,mohamed-konate,Mohamed Konaté,FW,MF-FW,4,167,5,1,4,,0
abdoul-bandaogo,Abdoul Bandaogo,MF,gustavo-sangare,Gustavo Sangaré,MF,MF-MF,2,164,3,1,2,,0
josue-tiendrebeogo,Josué Tiendrébéogo,MF,mohamed-zougrana,Mohamed Zougrana,MF,MF-MF,3,162,7,1,6,,0
abdoul-kader-ouattara,Abdoul Kader Ouattara,FW,edmond-tapsoba,Edmond Tapsoba,DF,DF-FW,3,160,5,0,5,,0
abdoul-kader-ouattara,Abdoul Kader Ouattara,FW,issa-kabore,Issa Kaboré,DF,DF-FW,3,160,5,0,5,,0
abdoul-kader-ouattara,Abdoul Kader Ouattara,FW,saidou-simpore,Saïdou Simporé,DF,DF-FW,3,160,5,0,5,,0
blati-toure,Blati Touré,MF,mohamed-zougrana,Mohamed Zougrana,MF,MF-MF,3,160,2,0,2,,0
josue-tiendrebeogo,Josué Tiendrébéogo,MF,nasser-djiga,Nasser Djiga,DF,DF-MF,2,157,2,4,-2,,0
arsene-kouassi,Arsène Kouassi,DF,mohamed-konate,Mohamed Konaté,FW,DF-FW,2,157,0,3,-3,,0
issa-kabore,Issa Kaboré,DF,ousseni-bouda,Ousseni Bouda,FW,DF-FW,6,153,3,3,0,,0
sacha-banse,Sacha Bansé,MF,stephane-aziz-ki,Stephane Aziz Ki,MF,MF-MF,3,153,6,2,4,,0
mohamed-konate,Mohamed Konaté,FW,mohamed-zougrana,Mohamed Zougrana,MF,MF-FW,3,150,1,1,0,,0
abdoul-ayinde,Abdoul Ayinde,DF,edmond-tapsoba,Edmond Tapsoba,DF,DF-DF,2,149,6,0,6,,0
abdoul-ayinde,Abdoul Ayinde,DF,mohamed-konate,Mohamed Konaté,FW,DF-FW,2,149,6,0,6,,0
issa-kabore,Issa Kaboré,DF,zakaria-sanogo,Zakaria Sanogo,FW,DF-FW,5,148,1,4,-3,,0
steeve-yago,Steeve Yago,DF,zakaria-sanogo,Zakaria Sanogo,FW,DF-FW,5,148,1,4,-3,,0
dramane-salou,Dramane Salou,MF,issa-kabore,Issa Kaboré,DF,DF-MF,5,148,1,2,-1,,0
blati-toure,Blati Touré,MF,sacha-banse,Sacha Bansé,MF,MF-MF,4,148,4,3,1,,0
kilian-nikiema,Kilian Nikiema,GK,saidou-simpore,Saïdou Simporé,DF,GK-DF,5,148,2,2,0,,0
herve-koffi,Hervé Koffi,GK,mamady-bangre,Mamady Bangré,FW,GK-FW,3,147,1,0,1,,0
issa-kabore,Issa Kaboré,DF,mamady-bangre,Mamady Bangré,FW,DF-FW,3,147,1,0,1,,0
bertrand-traore,Bertrand Traoré,FW,kilian-nikiema,Kilian Nikiema,GK,GK-FW,2,147,2,1,1,,0
abdoul-kader-ouattara,Abdoul Kader Ouattara,FW,cedric-badolo,Cedric Badolo,MF,MF-FW,2,147,4,0,4,,0
abdoul-kader-ouattara,Abdoul Kader Ouattara,FW,hassane-bande,Hassane Bandé,FW,FW-FW,2,147,4,0,4,,0
cyriaque-irie,Cyriaque Irié,FW,steeve-yago,Steeve Yago,DF,DF-FW,2,147,0,2,-2,,0
abdoul-bandaogo,Abdoul Bandaogo,MF,cyrille-bayala,Cyrille Bayala,FW,MF-FW,2,146,1,0,1,,0
adama-guira,Adama Guira,MF,farid-ouedraogo,Farid Ouédraogo,GK,GK-MF,2,145,1,3,-2,,0
mohamed-konate,Mohamed Konaté,FW,sacha-banse,Sacha Bansé,MF,MF-FW,4,145,0,2,-2,,0
bertrand-traore,Bertrand Traoré,FW,djibril-ouattara,Djibril Ouattara,FW,FW-FW,4,144,5,4,1,,0
cedric-badolo,Cedric Badolo,MF,ousseni-bouda,Ousseni Bouda,FW,MF-FW,3,144,3,3,0,,0
gustavo-sangare,Gustavo Sangaré,MF,pierre-landry-kabore,Pierre Landry Kaboré,FW,MF-FW,2,144,0,1,-1,,0
blati-toure,Blati Touré,MF,zakaria-sanogo,Zakaria Sanogo,FW,MF-FW,5,142,1,4,-3,,0
hassane-bande,Hassane Bandé,FW,ousmane-camara,Ousmane Camara,FW,FW-FW,5,142,1,2,-1,,0
lassina-traore,Lassina Traoré,FW,ousmane-camara,Ousmane Camara,FW,FW-FW,4,142,2,3,-1,,0
lassina-traore,Lassina Traoré,FW,mohamed-zougrana,Mohamed Zougrana,MF,MF-FW,2,142,5,1,4,,0
djibril-ouattara,Djibril Ouattara,FW,ismahila-ouedraogo,Ismahila Ouédraogo,MF,MF-FW,2,141,3,3,0,,0
cedric-badolo,Cedric Badolo,MF,mamady-bangre,Mamady Bangré,FW,MF-FW,3,140,0,2,-2,,0
nasser-djiga,Nasser Djiga,DF,ousmane-camara,Ousmane Camara,FW,DF-FW,3,140,2,2,0,,0
abdoul-tapsoba,Abdoul Tapsoba,FW,dango-ouattara,Dango Ouattara,FW,FW-FW,4,139,2,2,0,,0
edmond-tapsoba,Edmond Tapsoba,DF,ousmane-camara,Ousmane Camara,FW,DF-FW,4,139,2,2,0,,0
issa-kabore,Issa Kaboré,DF,ousmane-camara,Ousmane Camara,FW,DF-FW,4,139,2,2,0,,0
arsene-kouassi,Arsène Kouassi,DF,kilian-nikiema,Kilian Nikiema,GK,GK-DF,2,139,1,3,-2,,0
djibril-ouattara,Djibril Ouattara,FW,herve-koffi,Hervé Koffi,GK,GK-FW,3,138,2,1,1,,0
nasser-djiga,Nasser Djiga,DF,trova-boni,Trova Boni,DF,DF-DF,3,138,0,3,-3,,0
cyriaque-irie,Cyriaque Irié,FW,lassina-traore,Lassina Traoré,FW,FW-FW,4,138,3,2,1,,0
hassane-bande,Hassane Bandé,FW,ismahila-ouedraogo,Ismahila Ouédraogo,MF,MF-FW,6,137,1,0,1,,0
adama-guira,Adama Guira,MF,zakaria-sanogo,Zakaria Sanogo,FW,MF-FW,5,136,0,3,-3,,0
adamo-nagalo,Adamo Nagalo,DF,stephane-aziz-ki,Stephane Aziz Ki,MF,DF-MF,5,136,2,1,1,,0
dramane-salou,Dramane Salou,MF,herve-koffi,Hervé Koffi,GK,GK-MF,4,136,0,2,-2,,0
ousseni-bouda,Ousseni Bouda,FW,saidou-simpore,Saïdou Simporé,DF,DF-FW,6,136,1,3,-2,,0
abdoul-tapsoba,Abdoul Tapsoba,FW,djibril-ouattara,Djibril Ouattara,FW,FW-FW,4,135,5,4,1,,0
adamo-nagalo,Adamo Nagalo,DF,mohamed-ouedraogo,Mohamed Ouédraogo,DF,DF-DF,2,135,2,4,-2,,0
ismahila-ouedraogo,Ismahila Ouédraogo,MF,soumaila-ouattara,Soumaïla Ouattara,DF,DF-MF,2,134,3,3,0,,0
abdoul-guiebre,Abdoul Guiebre,DF,steeve-yago,Steeve Yago,DF,DF-DF,3,133,3,0,3,,0
dango-ouattara,Dango Ouattara,FW,farid-ouedraogo,Farid Ouédraogo,GK,GK-FW,3,132,5,1,4,,0
cyriaque-irie,Cyriaque Irié,FW,mohamed-konate,Mohamed Konaté,FW,FW-FW,2,132,4,1,3,,0
mohamed-konate,Mohamed Konaté,FW,nasser-djiga,Nasser Djiga,DF,DF-FW,5,131,0,3,-3,,0
ousmane-camara,Ousmane Camara,FW,sacha-banse,Sacha Bansé,MF,MF-FW,3,131,1,2,-1,,0
ousmane-camara,Ousmane Camara,FW,steeve-yago,Steeve Yago,DF,DF-FW,3,131,1,2,-1,,0
hassane-bande,Hassane Bandé,FW,stephane-aziz-ki,Stephane Aziz Ki,MF,MF-FW,4,129,2,1,1,,0
farid-ouedraogo,Farid Ouédraogo,GK,ismahila-ouedraogo,Ismahila Ouédraogo,MF,GK-MF,2,128,3,3,0,,0
abdoul-bandaogo,Abdoul Bandaogo,MF,hassane-bande,Hassane Bandé,FW,MF-FW,2,128,2,0,2,,0
bertrand-traore,Bertrand Traoré,FW,georgi-minoungou,Georgi Minoungou,FW,FW-FW,5,128,3,2,1,,0
dango-ouattara,Dango Ouattara,FW,djibril-ouattara,Djibril Ouattara,FW,FW-FW,2,127,1,1,0,,0
adamo-nagalo,Adamo Nagalo,DF,cyriaque-irie,Cyriaque Irié,FW,DF-FW,2,126,0,3,-3,,0
georgi-minoungou,Georgi Minoungou,FW,lassina-traore,Lassina Traoré,FW,FW-FW,3,126,3,1,2,,0
nasser-djiga,Nasser Djiga,DF,ousseni-bouda,Ousseni Bouda,FW,DF-FW,4,125,1,5,-4,,0
edmond-tapsoba,Edmond Tapsoba,DF,zakaria-sanogo,Zakaria Sanogo,FW,DF-FW,4,124,1,4,-3,,0
abdoul-tapsoba,Abdoul Tapsoba,FW,soumaila-ouattara,Soumaïla Ouattara,DF,DF-FW,2,124,3,3,0,,0
kilian-nikiema,Kilian Nikiema,GK,ousseni-bouda,Ousseni Bouda,FW,GK-FW,4,124,3,4,-1,,0
steeve-yago,Steeve Yago,DF,trova-boni,Trova Boni,DF,DF-DF,3,124,0,2,-2,,0
cyriaque-irie,Cyriaque Irié,FW,josue-tiendrebeogo,Josué Tiendrébéogo,MF,MF-FW,3,124,4,1,3,,0
dramane-salou,Dramane Salou,MF,issoufou-dayo,Issoufou Dayo,DF,DF-MF,3,123,1,1,0,,0
mamady-bangre,Mamady Bangré,FW,mohamed-konate,Mohamed Konaté,FW,FW-FW,2,123,0,0,0,,0
arsene-kouassi,Arsène Kouassi,DF,cedric-badolo,Cedric Badolo,MF,DF-MF,2,123,2,1,1,,0
georgi-minoungou,Georgi Minoungou,FW,steeve-yago,Steeve Yago,DF,DF-FW,5,123,3,2,1,,0
dango-ouattara,Dango Ouattara,FW,ousseni-bouda,Ousseni Bouda,FW,FW-FW,4,122,3,5,-2,,0
adamo-nagalo,Adamo Nagalo,DF,sacha-banse,Sacha Bansé,MF,DF-MF,2,122,2,2,0,,0
blati-toure,Blati Touré,MF,josue-tiendrebeogo,Josué Tiendrébéogo,MF,MF-MF,5,122,6,1,5,,0
abdoul-ayinde,Abdoul Ayinde,DF,blati-toure,Blati Touré,MF,DF-MF,2,122,5,0,5,,0
abdoul-tapsoba,Abdoul Tapsoba,FW,adamo-nagalo,Adamo Nagalo,DF,DF-FW,3,120,2,1,1,,0
hassane-bande,Hassane Bandé,FW,trova-boni,Trova Boni,DF,DF-FW,2,120,0,2,-2,,0
sacha-banse,Sacha Bansé,MF,trova-boni,Trova Boni,DF,DF-MF,2,120,0,2,-2,,0
arsene-kouassi,Arsène Kouassi,DF,issa-kabore,Issa Kaboré,DF,DF-DF,2,117,0,3,-3,,0
gustavo-sangare,Gustavo Sangaré,MF,lassina-traore,Lassina Traoré,FW,MF-FW,3,116,0,2,-2,,0
blati-toure,Blati Touré,MF,pierre-landry-kabore,Pierre Landry Kaboré,FW,MF-FW,4,116,2,1,1,,0
georgi-minoungou,Georgi Minoungou,FW,ismahila-ouedraogo,Ismahila Ouédraogo,MF,MF-FW,4,116,3,1,2,,0
farid-ouedraogo,Farid Ouédraogo,GK,mohamed-ouedraogo,Mohamed Ouédraogo,DF,GK-DF,2,115,4,1,3,,0
gustavo-sangare,Gustavo Sangaré,MF,mamady-bangre,Mamady Bangré,FW,MF-FW,3,114,1,1,0,,0
farid-ouedraogo,Farid Ouédraogo,GK,ousseni-bouda,Ousseni Bouda,FW,GK-FW,2,114,0,2,-2,,0
hassane-bande,Hassane Bandé,FW,ousseni-bouda,Ousseni Bouda,FW,FW-FW,2,114,0,2,-2,,0
cyriaque-irie,Cyriaque Irié,FW,georgi-minoungou,Georgi Minoungou,FW,FW-FW,4,114,3,0,3,,0
cyrille-bayala,Cyrille Bayala,FW,kilian-nikiema,Kilian Nikiema,GK,GK-FW,2,113,0,2,-2,,0
georgi-minoungou,Georgi Minoungou,FW,josue-tiendrebeogo,Josué Tiendrébéogo,MF,MF-FW,4,113,5,1,4,,0
hassane-bande,Hassane Bandé,FW,soumaila-ouattara,Soumaïla Ouattara,DF,DF-FW,2,112,1,0,1,,0
adamo-nagalo,Adamo Nagalo,DF,dramane-salou,Dramane Salou,MF,DF-MF,2,111,0,1,-1,,0
dramane-salou,Dramane Salou,MF,mohamed-konate,Mohamed Konaté,FW,MF-FW,2,111,0,1,-1,,0
ousmane-camara,Ousmane Camara,FW,saidou-simpore,Saïdou Simporé,DF,DF-FW,4,111,2,2,0,,0
djibril-ouattara,Djibril Ouattara,FW,farid-ouedraogo,Farid Ouédraogo,GK,GK-FW,2,110,4,4,0,,0
issoufou-dayo,Issoufou Dayo,DF,nasser-djiga,Nasser Djiga,DF,DF-DF,2,110,0,4,-4,,0
adamo-nagalo,Adamo Nagalo,DF,nasser-djiga,Nasser Djiga,DF,DF-DF,2,110,2,2,0,,0
georgi-minoungou,Georgi Minoungou,FW,kilian-nikiema,Kilian Nikiema,GK,GK-FW,3,108,1,2,-1,,0
blati-toure,Blati Touré,MF,mamady-bangre,Mamady Bangré,FW,MF-FW,3,107,1,2,-1,,0
edmond-tapsoba,Edmond Tapsoba,DF,mamady-bangre,Mamady Bangré,FW,DF-FW,3,107,1,2,-1,,0
