player_a,name_a,pos_a,player_b,name_b,pos_b,pair_type,matches,minutes,gf,ga,gd,gd90,gated
ismahila-ouedraogo,Ismahila Ouédraogo,MF,issoufou-dayo,Issoufou Dayo,DF,DF-MF,13,900,10,10,0,0.0,1
issa-kabore,Issa Kaboré,DF,saidou-simpore,Saïdou Simporé,DF,DF-DF,13,891,18,8,10,1.01,1
adama-guira,Adama Guira,MF,herve-koffi,Hervé Koffi,GK,GK-MF,10,879,7,4,3,0.31,1
herve-koffi,Hervé Koffi,GK,saidou-simpore,Saïdou Simporé,DF,GK-DF,12,822,18,10,8,0.88,1
adama-guira,Adama Guira,MF,gustavo-sangare,Gustavo Sangaré,MF,MF-MF,11,819,7,7,0,0.0,1
herve-koffi,Hervé Koffi,GK,ismahila-ouedraogo,Ismahila Ouédraogo,MF,GK-MF,12,810,11,10,1,0.11,1
issoufou-dayo,Issoufou Dayo,DF,mohamed-konate,Mohamed Konaté,FW,DF-FW,13,807,10,4,6,0.67,1
adama-guira,Adama Guira,MF,issoufou-dayo,Issoufou Dayo,DF,DF-MF,9,802,6,8,-2,-0.22,1
bertrand-traore,Bertrand Traoré,FW,ismahila-ouedraogo,Ismahila Ouédraogo,MF,MF-FW,12,802,13,10,3,0.34,1
cedric-badolo,Cedric Badolo,MF,steeve-yago,Steeve Yago,DF,DF-MF,13,799,10,9,1,0.11,1
adamo-nagalo,Adamo Nagalo,DF,herve-koffi,Hervé Koffi,GK,GK-DF,11,783,13,10,3,0.34,1
ismahila-ouedraogo,Ismahila Ouédraogo,MF,steeve-yago,Steeve Yago,DF,DF-MF,13,778,12,10,2,0.23,1
cedric-badolo,Cedric Badolo,MF,issa-kabore,Issa Kaboré,DF,DF-MF,15,761,9,7,2,0.24,1
cedric-badolo,Cedric Badolo,MF,issoufou-dayo,Issoufou Dayo,DF,DF-MF,14,757,9,9,0,0.0,1
hassane-bande,Hassane Bandé,FW,issoufou-dayo,Issoufou Dayo,DF,DF-FW,14,748,6,8,-2,-0.24,1
edmond-tapsoba,Edmond Tapsoba,DF,lassina-traore,Lassina Traoré,FW,DF-FW,12,727,15,9,6,0.74,1
blati-toure,Blati Touré,MF,mohamed-konate,Mohamed Konaté,FW,MF-FW,15,721,9,5,4,0.5,1
blati-toure,Blati Touré,MF,ismahila-ouedraogo,Ismahila Ouédraogo,MF,MF-MF,12,721,13,9,4,0.5,1
dango-ouattara,Dango Ouattara,FW,ismahila-ouedraogo,Ismahila Ouédraogo,MF,MF-FW,10,721,6,5,1,0.12,1
cedric-badolo,Cedric Badolo,MF,herve-koffi,Hervé Koffi,GK,GK-MF,13,709,10,6,4,0.51,1
issoufou-dayo,Issoufou Dayo,DF,saidou-simpore,Saïdou Simporé,DF,DF-DF,11,704,15,5,10,1.28,1
blati-toure,Blati Touré,MF,cedric-badolo,Cedric Badolo,MF,MF-MF,12,693,13,7,6,0.78,1
saidou-simpore,Saïdou Simporé,DF,steeve-yago,Steeve Yago,DF,DF-DF,11,691,10,7,3,0.39,1
adamo-nagalo,Adamo Nagalo,DF,issa-kabore,Issa Kaboré,DF,DF-DF,9,689,11,8,3,0.39,1
edmond-tapsoba,Edmond Tapsoba,DF,stephane-aziz-ki,Stephane Aziz Ki,MF,DF-MF,12,673,12,6,6,0.8,1
adamo-nagalo,Adamo Nagalo,DF,dango-ouattara,Dango Ouattara,FW,DF-FW,11,673,14,11,3,0.4,1
dango-ouattara,Dango Ouattara,FW,saidou-simpore,Saïdou Simporé,DF,DF-FW,13,667,17,8,9,1.21,1
blati-toure,Blati Touré,MF,hassane-bande,Hassane Bandé,FW,MF-FW,13,655,7,3,4,0.55,1
hassane-bande,Hassane Bandé,FW,herve-koffi,Hervé Koffi,GK,GK-FW,14,648,9,5,4,0.56,1
mohamed-konate,Mohamed Konaté,FW,steeve-yago,Steeve Yago,DF,DF-FW,16,647,3,5,-2,-0.28,1
cedric-badolo,Cedric Badolo,MF,dango-ouattara,Dango Ouattara,FW,MF-FW,13,636,13,9,4,0.57,1
abdoul-guiebre,Abdoul Guiebre,DF,issoufou-dayo,Issoufou Dayo,DF,DF-DF,7,633,8,3,5,0.71,1
lassina-traore,Lassina Traoré,FW,saidou-simpore,Saïdou Simporé,DF,DF-FW,12,630,15,6,9,1.29,1
lassina-traore,Lassina Traoré,FW,steeve-yago,Steeve Yago,DF,DF-FW,11,629,11,11,0,0.0,1
issoufou-dayo,Issoufou Dayo,DF,stephane-aziz-ki,Stephane Aziz Ki,MF,DF-MF,13,626,10,5,5,0.72,1
adamo-nagalo,Adamo Nagalo,DF,edmond-tapsoba,Edmond Tapsoba,DF,DF-DF,9,613,9,12,-3,-0.44,1
edmond-tapsoba,Edmond Tapsoba,DF,kilian-nikiema,Kilian Nikiema,GK,GK-DF,7,612,9,11,-2,-0.29,1
adama-guira,Adama Guira,MF,bertrand-traore,Bertrand Traoré,FW,MF-FW,8,611,6,7,-1,-0.15,1
issoufou-dayo,Issoufou Dayo,DF,lassina-traore,Lassina Traoré,FW,DF-FW,10,608,12,8,4,0.59,1
gustavo-sangare,Gustavo Sangaré,MF,ismahila-ouedraogo,Ismahila Ouédraogo,MF,MF-MF,8,598,9,9,0,0.0,1
dango-ouattara,Dango Ouattara,FW,lassina-traore,Lassina Traoré,FW,FW-FW,11,596,16,8,8,1.21,1
abdoul-tapsoba,Abdoul Tapsoba,FW,blati-toure,Blati Touré,MF,MF-FW,12,595,11,9,2,0.3,1
arsene-kouassi,Arsène Kouassi,DF,edmond-tapsoba,Edmond Tapsoba,DF,DF-DF,6,581,4,10,-6,-0.93,1
blati-toure,Blati Touré,MF,cyrille-bayala,Cyrille Bayala,FW,MF-FW,8,575,5,5,0,0.0,1
abdoul-tapsoba,Abdoul Tapsoba,FW,issa-kabore,Issa Kaboré,DF,DF-FW,12,574,10,9,1,0.16,1
ismahila-ouedraogo,Ismahila Ouédraogo,MF,issa-kabore,Issa Kaboré,DF,DF-MF,11,571,8,9,-1,-0.16,1
dango-ouattara,Dango Ouattara,FW,kilian-nikiema,Kilian Nikiema,GK,GK-FW,7,571,9,11,-2,-0.32,1
cyrille-bayala,Cyrille Bayala,FW,issa-kabore,Issa Kaboré,DF,DF-FW,8,565,5,3,2,0.32,1
abdoul-tapsoba,Abdoul Tapsoba,FW,edmond-tapsoba,Edmond Tapsoba,DF,DF-FW,13,565,10,8,2,0.32,1
adamo-nagalo,Adamo Nagalo,DF,steeve-yago,Steeve Yago,DF,DF-DF,8,556,14,7,7,1.13,1
abdoul-tapsoba,Abdoul Tapsoba,FW,steeve-yago,Steeve Yago,DF,DF-FW,11,555,10,10,0,0.0,1
cyrille-bayala,Cyrille Bayala,FW,gustavo-sangare,Gustavo Sangaré,MF,MF-FW,9,555,5,4,1,0.16,1
issa-kabore,Issa Kaboré,DF,lassina-traore,Lassina Traoré,FW,DF-FW,8,549,15,4,11,1.8,1
edmond-tapsoba,Edmond Tapsoba,DF,sacha-banse,Sacha Bansé,MF,DF-MF,8,548,10,8,2,0.33,1
edmond-tapsoba,Edmond Tapsoba,DF,farid-ouedraogo,Farid Ouédraogo,GK,GK-DF,6,545,11,9,2,0.33,1
farid-ouedraogo,Farid Ouédraogo,GK,issa-kabore,Issa Kaboré,DF,GK-DF,6,545,11,9,2,0.33,1
cedric-badolo,Cedric Badolo,MF,hassane-bande,Hassane Bandé,FW,MF-FW,10,545,8,4,4,0.66,1
farid-ouedraogo,Farid Ouédraogo,GK,issoufou-dayo,Issoufou Dayo,DF,GK-DF,6,542,8,9,-1,-0.17,1
abdoul-guiebre,Abdoul Guiebre,DF,herve-koffi,Hervé Koffi,GK,GK-DF,6,539,5,2,3,0.5,1
abdoul-guiebre,Abdoul Guiebre,DF,dango-ouattara,Dango Ouattara,FW,DF-FW,6,537,8,3,5,0.84,1
edmond-tapsoba,Edmond Tapsoba,DF,mohamed-ouedraogo,Mohamed Ouédraogo,DF,DF-DF,7,536,13,9,4,0.67,1
dango-ouattara,Dango Ouattara,FW,stephane-aziz-ki,Stephane Aziz Ki,MF,MF-FW,12,534,11,6,5,0.84,1
dango-ouattara,Dango Ouattara,FW,mohamed-konate,Mohamed Konaté,FW,FW-FW,14,532,7,6,1,0.17,1
farid-ouedraogo,Farid Ouédraogo,GK,steeve-yago,Steeve Yago,DF,GK-DF,6,529,7,11,-4,-0.68,1
dango-ouattara,Dango Ouattara,FW,hassane-bande,Hassane Bandé,FW,FW-FW,12,528,7,5,2,0.34,1
blati-toure,Blati Touré,MF,saidou-simpore,Saïdou Simporé,DF,DF-MF,11,523,11,3,8,1.38,1
adamo-nagalo,Adamo Nagalo,DF,mohamed-konate,Mohamed Konaté,FW,DF-FW,9,519,3,8,-5,-0.87,1
cyrille-bayala,Cyrille Bayala,FW,issoufou-dayo,Issoufou Dayo,DF,DF-FW,8,517,4,5,-1,-0.17,1
lassina-traore,Lassina Traoré,FW,sacha-banse,Sacha Bansé,MF,MF-FW,7,502,10,8,2,0.36,1
cyrille-bayala,Cyrille Bayala,FW,edmond-tapsoba,Edmond Tapsoba,DF,DF-FW,7,501,4,3,1,0.18,1
abdoul-guiebre,Abdoul Guiebre,DF,issa-kabore,Issa Kaboré,DF,DF-DF,6,500,5,3,2,0.36,1
herve-koffi,Hervé Koffi,GK,lassina-traore,Lassina Traoré,FW,GK-FW,9,499,13,5,8,1.44,1
abdoul-guiebre,Abdoul Guiebre,DF,gustavo-sangare,Gustavo Sangaré,MF,DF-MF,7,492,5,3,2,0.37,1
abdoul-tapsoba,Abdoul Tapsoba,FW,issoufou-dayo,Issoufou Dayo,DF,DF-FW,10,483,8,7,1,0.19,1
adama-guira,Adama Guira,MF,dango-ouattara,Dango Ouattara,FW,MF-FW,6,482,5,4,1,0.19,1
abdoul-tapsoba,Abdoul Tapsoba,FW,gustavo-sangare,Gustavo Sangaré,MF,MF-FW,10,481,9,8,1,0.19,1
adamo-nagalo,Adamo Nagalo,DF,issoufou-dayo,Issoufou Dayo,DF,DF-DF,7,474,9,5,4,0.76,1
cedric-badolo,Cedric Badolo,MF,saidou-simpore,Saïdou Simporé,DF,DF-MF,10,473,7,2,5,0.95,1
abdoul-tapsoba,Abdoul Tapsoba,FW,herve-koffi,Hervé Koffi,GK,GK-FW,10,472,6,6,0,0.0,1
hassane-bande,Hassane Bandé,FW,saidou-simpore,Saïdou Simporé,DF,DF-FW,9,472,6,4,2,0.38,1
adama-guira,Adama Guira,MF,cyrille-bayala,Cyrille Bayala,FW,MF-FW,7,468,4,5,-1,-0.19,1
sacha-banse,Sacha Bansé,MF,steeve-yago,Steeve Yago,DF,DF-MF,6,468,4,10,-6,-1.15,1
gustavo-sangare,Gustavo Sangaré,MF,hassane-bande,Hassane Bandé,FW,MF-FW,9,467,4,4,0,0.0,1
hassane-bande,Hassane Bandé,FW,sacha-banse,Sacha Bansé,MF,MF-FW,7,460,5,7,-2,-0.39,1
blati-toure,Blati Touré,MF,stephane-aziz-ki,Stephane Aziz Ki,MF,MF-MF,9,456,10,4,6,1.18,1
cedric-badolo,Cedric Badolo,MF,stephane-aziz-ki,Stephane Aziz Ki,MF,MF-MF,9,455,6,4,2,0.4,1
herve-koffi,Hervé Koffi,GK,stephane-aziz-ki,Stephane Aziz Ki,MF,GK-MF,10,454,4,2,2,0.4,1
abdoul-guiebre,Abdoul Guiebre,DF,blati-toure,Blati Touré,MF,DF-MF,5,451,8,2,6,1.2,1
hassane-bande,Hassane Bandé,FW,lassina-traore,Lassina Traoré,FW,FW-FW,7,450,7,6,1,0.2,1
blati-toure,Blati Touré,MF,farid-ouedraogo,Farid Ouédraogo,GK,GK-MF,5,449,11,8,3,0.6,1
arsene-kouassi,Arsène Kouassi,DF,herve-koffi,Hervé Koffi,GK,GK-DF,5,442,3,7,-4,-0.81,1
abdoul-guiebre,Abdoul Guiebre,DF,edmond-tapsoba,Edmond Tapsoba,DF,DF-DF,5,441,7,2,5,1.02,1
adamo-nagalo,Adamo Nagalo,DF,gustavo-sangare,Gustavo Sangaré,MF,DF-MF,7,441,7,6,1,0.2,1
gustavo-sangare,Gustavo Sangaré,MF,mohamed-konate,Mohamed Konaté,FW,MF-FW,9,438,3,6,-3,-0.62,1
steeve-yago,Steeve Yago,DF,stephane-aziz-ki,Stephane Aziz Ki,MF,DF-MF,9,433,5,4,1,0.21,1
dango-ouattara,Dango Ouattara,FW,mohamed-zougrana,Mohamed Zougrana,MF,MF-FW,7,430,7,3,4,0.84,1
cedric-badolo,Cedric Badolo,MF,sacha-banse,Sacha Bansé,MF,MF-MF,7,426,5,5,0,0.0,1
adamo-nagalo,Adamo Nagalo,DF,saidou-simpore,Saïdou Simporé,DF,DF-DF,8,425,8,8,0,0.0,1
cedric-badolo,Cedric Badolo,MF,lassina-traore,Lassina Traoré,FW,MF-FW,9,422,7,3,4,0.85,1
adamo-nagalo,Adamo Nagalo,DF,blati-toure,Blati Touré,MF,DF-MF,8,419,9,4,5,1.07,1
farid-ouedraogo,Farid Ouédraogo,GK,hassane-bande,Hassane Bandé,FW,GK-FW,7,418,2,7,-5,-1.08,1
cyrille-bayala,Cyrille Bayala,FW,steeve-yago,Steeve Yago,DF,DF-FW,6,414,4,4,0,0.0,1
cedric-badolo,Cedric Badolo,MF,mohamed-konate,Mohamed Konaté,FW,MF-FW,10,412,2,3,-1,-0.22,1
arsene-kouassi,Arsène Kouassi,DF,dango-ouattara,Dango Ouattara,FW,DF-FW,5,412,3,8,-5,-1.09,1
