scope,scope_value,side,matches,axis,value,n,coverage_pct
opp_elo,strong,bf,9,recoveries_per_match,44.4,7,77.8
opp_elo,strong,bf,9,clearances_per_match,15.7,9,100.0
opp_elo,strong,bf,9,corners_per_match,4.0,9,100.0
opp_elo,strong,bf,9,fouls_per_match,16.1,9,100.0
opp_elo,strong,opp,9,possession,57.8,9,100.0
opp_elo,strong,opp,9,pass_accuracy,85.8,9,100.0
opp_elo,strong,opp,9,passes_per_match,430.7,9,100.0
opp_elo,strong,opp,9,long_ball_share,11.9,9,100.0
opp_elo,strong,opp,9,long_ball_accuracy,54.2,9,100.0
opp_elo,strong,opp,9,shots_per_match,15.6,9,100.0
opp_elo,strong,opp,9,shots_on_target_share,31.4,9,100.0
opp_elo,strong,opp,9,shots_inside_box_share,68.6,9,100.0
opp_elo,strong,opp,9,big_chances_per_match,3.3,9,100.0
opp_elo,strong,opp,9,crosses_per_match,15.4,9,100.0
opp_elo,strong,opp,9,dribbles_per_match,13.4,9,100.0
opp_elo,strong,opp,9,dribble_success,47.9,9,100.0
opp_elo,strong,opp,9,aerial_win,56.7,9,100.0
opp_elo,strong,opp,9,ground_duel_win,50.4,9,100.0
opp_elo,strong,opp,9,tackles_per_match,15.1,9,100.0
opp_elo,strong,opp,9,interceptions_per_match,7.4,9,100.0
opp_elo,strong,opp,9,recoveries_per_match,49.6,7,77.8
opp_elo,strong,opp,9,clearances_per_match,18.0,9,100.0
opp_elo,strong,opp,9,corners_per_match,4.0,9,100.0
opp_elo,strong,opp,9,fouls_per_match,16.7,9,100.0
opp_elo,weak,bf,9,possession,56.0,9,100.0
opp_elo,weak,bf,9,pass_accuracy,82.2,9,100.0
opp_elo,weak,bf,9,passes_per_match,445.3,9,100.0
opp_elo,weak,bf,9,long_ball_share,13.0,9,100.0
opp_elo,weak,bf,9,long_ball_accuracy,51.1,9,100.0
opp_elo,weak,bf,9,shots_per_match,11.8,9,100.0
opp_elo,weak,bf,9,shots_on_target_share,36.8,9,100.0
opp_elo,weak,bf,9,shots_inside_box_share,64.2,9,100.0
opp_elo,weak,bf,9,big_chances_per_match,2.6,9,100.0
opp_elo,weak,bf,9,crosses_per_match,18.3,9,100.0
opp_elo,weak,bf,9,dribbles_per_match,17.2,9,100.0
opp_elo,weak,bf,9,dribble_success,49.0,9,100.0
opp_elo,weak,bf,9,aerial_win,55.9,9,100.0
opp_elo,weak,bf,9,ground_duel_win,49.0,9,100.0
opp_elo,weak,bf,9,tackles_per_match,12.9,9,100.0
opp_elo,weak,bf,9,interceptions_per_match,6.8,9,100.0
opp_elo,weak,bf,9,clearances_per_match,12.6,9,100.0
opp_elo,weak,bf,9,corners_per_match,5.3,9,100.0
opp_elo,weak,bf,9,fouls_per_match,14.1,9,100.0
opp_elo,weak,opp,9,possession,44.0,9,100.0
opp_elo,weak,opp,9,pass_accuracy,77.7,9,100.0
opp_elo,weak,opp,9,passes_per_match,348.1,9,100.0
opp_elo,weak,opp,9,long_ball_share,19.0,9,100.0
opp_elo,weak,opp,9,long_ball_accuracy,39.2,9,100.0
opp_elo,weak,opp,9,shots_per_match,11.9,9,100.0
opp_elo,weak,opp,9,shots_on_target_share,34.6,9,100.0
opp_elo,weak,opp,9,shots_inside_box_share,38.3,9,100.0
opp_elo,weak,opp,9,big_chances_per_match,1.3,9,100.0
opp_elo,weak,opp,9,crosses_per_match,12.3,9,100.0
opp_elo,weak,opp,9,dribbles_per_match,11.1,9,100.0
opp_elo,weak,opp,9,dribble_success,46.0,9,100.0
opp_elo,weak,opp,9,aerial_win,44.1,9,100.0
opp_elo,weak,opp,9,ground_duel_win,51.0,9,100.0
opp_elo,weak,opp,9,tackles_per_match,17.1,9,100.0
opp_elo,weak,opp,9,interceptions_per_match,9.2,9,100.0
opp_elo,weak,opp,9,clearances_per_match,18.9,9,100.0
opp_elo,weak,opp,9,corners_per_match,3.8,9,100.0
opp_elo,weak,opp,9,fouls_per_match,13.6,9,100.0
formation,4-2-3-1,bf,14,possession,48.5,14,100.0
formation,4-2-3-1,bf,14,pass_accuracy,78.5,14,100.0
formation,4-2-3-1,bf,14,passes_per_match,364.6,14,100.0
formation,4-2-3-1,bf,14,long_ball_share,15.2,14,100.0
formation,4-2-3-1,bf,14,long_ball_accuracy,48.3,14,100.0
formation,4-2-3-1,bf,14,shots_per_match,12.2,14,100.0
formation,4-2-3-1,bf,14,shots_on_target_share,35.1,14,100.0
formation,4-2-3-1,bf,14,shots_inside_box_share,61.4,14,100.0
formation,4-2-3-1,bf,14,big_chances_per_match,2.4,14,100.0
formation,4-2-3-1,bf,14,crosses_per_match,14.1,14,100.0
formation,4-2-3-1,bf,14,dribbles_per_match,17.5,14,100.0
formation,4-2-3-1,bf,14,dribble_success,53.9,14,100.0
formation,4-2-3-1,bf,14,aerial_win,53.0,14,100.0
formation,4-2-3-1,bf,14,ground_duel_win,50.3,14,100.0
formation,4-2-3-1,bf,14,tackles_per_match,16.9,14,100.0
formation,4-2-3-1,bf,14,interceptions_per_match,9.0,14,100.0
formation,4-2-3-1,bf,14,clearances_per_match,13.4,14,100.0
formation,4-2-3-1,bf,14,corners_per_match,4.9,14,100.0
formation,4-2-3-1,bf,14,fouls_per_match,16.9,14,100.0
formation,4-2-3-1,opp,14,possession,51.5,14,100.0
formation,4-2-3-1,opp,14,pass_accuracy,79.3,14,100.0
formation,4-2-3-1,opp,14,passes_per_match,375.6,14,100.0
formation,4-2-3-1,opp,14,long_ball_share,16.8,14,100.0
formation,4-2-3-1,opp,14,long_ball_accuracy,44.4,14,100.0
