player_id,date,source,note
steeve-yago,2026-06-09,maintainer report,retired from international football after the June 2026 window; exact announcement date and public source to be added
issoufou-dayo,2026-06-09,maintainer report,retired from international football after the June 2026 window; exact announcement date and public source to be added
